FieldSampleID,Block,Depth_val,Depth_incr,N_Treat,Treat_ID,Treat_Explan,Till_Status,Year,Bulk_dens,Tot_N,Tot_C,OC,IC
GGRS_101HIa_0010,1,10,1,High,5,SP/SW/WP/WW,No Till,2016,1.32,0.15,1.46,1.32,0.15
GGRS_101HIa_1020,1,1020,2,High,5,SP/SW/WP/WW,No Till,2016,1.32,0.11,1.03,0.98,0.05
GGRS_101HIa_2030,1,2030,3,High,5,SP/SW/WP/WW,No Till,2016,1.42,0.13,0.88,0.89,-0.01
GGRS_101HIb_0010,1,10,1,High,5,SP/SW/WP/WW,No Till,2016,1.36,0.14,1.45,1.3,0.15
GGRS_101HIb_1020,1,1020,2,High,5,SP/SW/WP/WW,No Till,2016,1.51,0.11,0.97,1.24,-0.26
GGRS_101HIb_2030,1,2030,3,High,5,SP/SW/WP/WW,No Till,2016,1.34,0.07,0.61,0.67,-0.06
GGRS_101LOa_0010,1,10,1,Low,5,SP/SW/WP/WW,No Till,2016,1.36,0.13,1.44,1.32,0.12
GGRS_101LOa_1020,1,1020,2,Low,5,SP/SW/WP/WW,No Till,2016,1.38,0.1,0.97,0.91,0.06
GGRS_101LOa_2030,1,2030,3,Low,5,SP/SW/WP/WW,No Till,2016,1.55,0.08,0.75,0.78,-0.03
GGRS_101LOb_0010,1,10,1,Low,5,SP/SW/WP/WW,No Till,2016,1.43,0.13,1.41,1.17,0.24
GGRS_101LOb_1020,1,1020,2,Low,5,SP/SW/WP/WW,No Till,2016,1.29,0.09,1,0.86,0.14
GGRS_101LOb_2030,1,2030,3,Low,5,SP/SW/WP/WW,No Till,2016,1.5,0.08,0.69,0.67,0.02
GGRS_102HIa_0010,1,10,1,High,9,SP/SW/WP/WW,No Till,2016,1.37,0.17,1.76,1.62,0.14
GGRS_102HIa_1020,1,1020,2,High,9,SP/SW/WP/WW,No Till,2016,1.47,0.12,1.12,1.06,0.06
GGRS_102HIa_2030,1,2030,3,High,9,SP/SW/WP/WW,No Till,2016,1.37,0.11,1.06,0.91,0.16
GGRS_102HIb_0010,1,10,1,High,9,SP/SW/WP/WW,No Till,2016,1.33,0.17,1.85,1.72,0.14
GGRS_102HIb_1020,1,1020,2,High,9,SP/SW/WP/WW,No Till,2016,1.45,0.1,0.97,1.07,-0.1
GGRS_102HIb_2030,1,2030,3,High,9,SP/SW/WP/WW,No Till,2016,1.43,0.07,0.65,0.64,0.01
GGRS_102LOa_0010,1,10,1,Low,9,SP/SW/WP/WW,No Till,2016,1.37,0.17,1.76,1.67,0.08
GGRS_102LOa_1020,1,1020,2,Low,9,SP/SW/WP/WW,No Till,2016,1.5,0.12,1.13,1.05,0.07
GGRS_102LOa_2030,1,2030,3,Low,9,SP/SW/WP/WW,No Till,2016,1.41,0.09,0.92,0.96,-0.04
GGRS_102LOb_0010,1,10,1,Low,9,SP/SW/WP/WW,No Till,2016,1.38,0.15,1.52,1.52,-0.01
GGRS_102LOb_1020,1,1020,2,Low,9,SP/SW/WP/WW,No Till,2016,1.4,#N/A,#N/A,#N/A,#N/A
GGRS_102LOb_2030,1,2030,3,Low,9,SP/SW/WP/WW,No Till,2016,1.43,0.07,0.68,0.75,-0.07
GGRS_103HIaa_0010,1,10,1,Organic,8,SPMan/SW/WPMan/WW,No Till,2016,1.39,0.13,1.32,1.27,0.05
GGRS_103HIaa_1020,1,1020,2,Organic,8,SPMan/SW/WPMan/WW,No Till,2016,1.37,0.09,0.92,0.96,-0.04
GGRS_103HIaa_2030,1,2030,3,Organic,8,SPMan/SW/WPMan/WW,No Till,2016,1.32,0.08,1.07,0.76,0.3
GGRS_103HIab_0010,1,10,1,Organic,8,SPMan/SW/WPMan/WW,No Till,2016,1.36,0.13,1.28,1.28,0
GGRS_103HIab_1020,1,1020,2,Organic,8,SPMan/SW/WPMan/WW,No Till,2016,1.32,0.10,0.93,0.99,-0.06
GGRS_103HIab_2030,1,2030,3,Organic,8,SPMan/SW/WPMan/WW,No Till,2016,1.4,0.07,0.73,0.71,0.03
GGRS_103HIba_0010,1,10,1,Organic,8,SPMan/SW/WPMan/WW,No Till,2016,1.28,0.13,1.22,1.26,-0.04
GGRS_103HIba_1020,1,1020,2,Organic,8,SPMan/SW/WPMan/WW,No Till,2016,1.25,0.09,0.88,0.9,-0.02
GGRS_103HIba_2030,1,2030,3,Organic,8,SPMan/SW/WPMan/WW,No Till,2016,1.28,0.07,0.57,0.61,-0.04
GGRS_103HIbb_0010,1,10,1,Organic,8,SPMan/SW/WPMan/WW,No Till,2016,1.35,0.13,1.3,1.29,0.01
GGRS_103HIbb_1020,1,1020,2,Organic,8,SPMan/SW/WPMan/WW,No Till,2016,1.48,0.10,0.96,0.96,0.00
GGRS_103HIbb_2030,1,2030,3,Organic,8,SPMan/SW/WPMan/WW,No Till,2016,1.28,0.08,0.64,0.7,-0.06
GGRS_104HIa_0010,1,10,1,High,1,TillFal/SW/TillFal/WW,Till,2016,1.43,0.13,1.29,1.24,0.05
GGRS_104HIa_1020,1,1020,2,High,1,TillFal/SW/TillFal/WW,Till,2016,1.25,0.1,0.97,0.91,0.06
GGRS_104HIa_2030,1,2030,3,High,1,TillFal/SW/TillFal/WW,Till,2016,1.33,0.07,0.96,0.66,0.3
GGRS_104HIb_0010,1,10,1,High,1,TillFal/SW/TillFal/WW,Till,2016,1.42,0.14,1.39,1.34,0.05
GGRS_104HIb_1020,1,1020,2,High,1,TillFal/SW/TillFal/WW,Till,2016,1.19,0.11,0.98,0.97,0.01
GGRS_104HIb_2030,1,2030,3,High,1,TillFal/SW/TillFal/WW,Till,2016,1.33,0.14,1.04,0.73,0.31
GGRS_104LOa_0010,1,10,1,Low,1,TillFal/SW/TillFal/WW,Till,2016,1.32,0.12,1.33,1.11,0.22
GGRS_104LOa_1020,1,1020,2,Low,1,TillFal/SW/TillFal/WW,Till,2016,1.46,0.11,1,0.99,0.01
GGRS_104LOa_2030,1,2030,3,Low,1,TillFal/SW/TillFal/WW,Till,2016,1.35,0.08,0.65,0.66,-0.01
GGRS_104LOb_0010,1,10,1,Low,1,TillFal/SW/TillFal/WW,Till,2016,1.43,0.14,1.41,1.25,0.15
GGRS_104LOb_1020,1,1020,2,Low,1,TillFal/SW/TillFal/WW,Till,2016,1.43,0.1,0.95,0.98,-0.03
GGRS_104LOb_2030,1,2030,3,Low,1,TillFal/SW/TillFal/WW,Till,2016,1.3,0.07,0.84,0.62,0.22
GGRS_105HIa_0010,1,10,1,High,2,ChemF/SW/ChemF/WW,No Till,2016,1.35,0.14,1.42,1.41,0.01
GGRS_105HIa_1020,1,1020,2,High,2,ChemF/SW/ChemF/WW,No Till,2016,1.42,0.1,0.92,0.95,-0.04
GGRS_105HIa_2030,1,2030,3,High,2,ChemF/SW/ChemF/WW,No Till,2016,1.33,0.1,0.88,0.92,-0.04
GGRS_105HIb_0010,1,10,1,High,2,ChemF/SW/ChemF/WW,No Till,2016,1.21,0.13,1.37,1.32,0.05
GGRS_105HIb_1020,1,1020,2,High,2,ChemF/SW/ChemF/WW,No Till,2016,1.42,0.1,0.91,0.92,-0.01
GGRS_105HIb_2030,1,2030,3,High,2,ChemF/SW/ChemF/WW,No Till,2016,1.38,0.06,1.65,0.64,1.01
GGRS_105LOa_0010,1,10,1,Low,2,ChemF/SW/ChemF/WW,No Till,2016,1.32,0.14,1.4,1.34,0.06
GGRS_105LOa_1020,1,1020,2,Low,2,ChemF/SW/ChemF/WW,No Till,2016,1.42,0.1,0.9,0.95,-0.05
GGRS_105LOa_2030,1,2030,3,Low,2,ChemF/SW/ChemF/WW,No Till,2016,1.23,0.08,0.8,0.78,0.02
